Using TensorFlow backend.
5200/5200 [==============================] - 91s 17ms/sample - loss: 0.0238 - acc: 0.7106 - val_loss: 0.0179 - val_acc: 0.4938
Epoch 144/300
5200/5200 [==============================] - 91s 17ms/sample - loss: 0.0238 - acc: 0.7113 - val_loss: 0.0180 - val_acc: 0.5063
Epoch 145/300
5200/5200 [==============================] - 92s 18ms/sample - loss: 0.0238 - acc: 0.7112 - val_loss: 0.0183 - val_acc: 0.5063
Epoch 146/300
5200/5200 [==============================] - 89s 17ms/sample - loss: 0.0238 - acc: 0.7081 - val_loss: 0.0184 - val_acc: 0.4938
Epoch 147/300
5200/5200 [==============================] - 90s 17ms/sample - loss: 0.0238 - acc: 0.7067 - val_loss: 0.0182 - val_acc: 0.5063
Epoch 148/300
5200/5200 [==============================] - 86s 17ms/sample - loss: 0.0238 - acc: 0.7113 - val_loss: 0.0181 - val_acc: 0.5000
Epoch 149/300
5200/5200 [==============================] - 90s 17ms/sample - loss: 0.0238 - acc: 0.7110 - val_loss: 0.0180 - val_acc: 0.5125
Epoch 150/300
5200/5200 [==============================] - 91s 17ms/sample - loss: 0.0238 - acc: 0.7108 - val_loss: 0.0187 - val_acc: 0.5000
Epoch 151/300
5200/5200 [==============================] - 89s 17ms/sample - loss: 0.0238 - acc: 0.7110 - val_loss: 0.0181 - val_acc: 0.5000
Epoch 152/300
5200/5200 [==============================] - 80s 15ms/sample - loss: 0.0238 - acc: 0.7090 - val_loss: 0.0184 - val_acc: 0.5000
Epoch 153/300
5200/5200 [==============================] - 87s 17ms/sample - loss: 0.0237 - acc: 0.7150 - val_loss: 0.0184 - val_acc: 0.4812
Epoch 154/300
5200/5200 [==============================] - 88s 17ms/sample - loss: 0.0237 - acc: 0.7104 - val_loss: 0.0181 - val_acc: 0.4938
Epoch 155/300
5200/5200 [==============================] - 87s 17ms/sample - loss: 0.0238 - acc: 0.7152 - val_loss: 0.0181 - val_acc: 0.5063
Epoch 156/300
5200/5200 [==============================] - 89s 17ms/sample - loss: 0.0237 - acc: 0.7117 - val_loss: 0.0182 - val_acc: 0.5063
Epoch 157/300
5200/5200 [==============================] - 88s 17ms/sample - loss: 0.0237 - acc: 0.7160 - val_loss: 0.0185 - val_acc: 0.5000
Epoch 158/300
5200/5200 [==============================] - 86s 17ms/sample - loss: 0.0237 - acc: 0.7102 - val_loss: 0.0187 - val_acc: 0.4938
Epoch 159/300
5200/5200 [==============================] - 87s 17ms/sample - loss: 0.0237 - acc: 0.7096 - val_loss: 0.0184 - val_acc: 0.4938
Epoch 160/300
5200/5200 [==============================] - 91s 18ms/sample - loss: 0.0237 - acc: 0.7090 - val_loss: 0.0184 - val_acc: 0.4812
Epoch 161/300
5200/5200 [==============================] - 86s 16ms/sample - loss: 0.0237 - acc: 0.7133 - val_loss: 0.0182 - val_acc: 0.4938
Epoch 162/300
5200/5200 [==============================] - 91s 17ms/sample - loss: 0.0237 - acc: 0.7113 - val_loss: 0.0186 - val_acc: 0.4875
Epoch 163/300
5200/5200 [==============================] - 90s 17ms/sample - loss: 0.0237 - acc: 0.7110 - val_loss: 0.0185 - val_acc: 0.4938
Epoch 164/300
5200/5200 [==============================] - 93s 18ms/sample - loss: 0.0237 - acc: 0.7140 - val_loss: 0.0185 - val_acc: 0.4875
Epoch 165/300
5200/5200 [==============================] - 89s 17ms/sample - loss: 0.0237 - acc: 0.7133 - val_loss: 0.0185 - val_acc: 0.5000
Epoch 166/300
5200/5200 [==============================] - 90s 17ms/sample - loss: 0.0236 - acc: 0.7127 - val_loss: 0.0185 - val_acc: 0.5000
Epoch 167/300
5200/5200 [==============================] - 86s 17ms/sample - loss: 0.0236 - acc: 0.7171 - val_loss: 0.0183 - val_acc: 0.4938
Epoch 168/300
5200/5200 [==============================] - 88s 17ms/sample - loss: 0.0236 - acc: 0.7133 - val_loss: 0.0185 - val_acc: 0.4938
Epoch 169/300
5200/5200 [==============================] - 91s 17ms/sample - loss: 0.0236 - acc: 0.7140 - val_loss: 0.0187 - val_acc: 0.4875
Epoch 170/300
5200/5200 [==============================] - 92s 18ms/sample - loss: 0.0236 - acc: 0.7121 - val_loss: 0.0184 - val_acc: 0.4938
Epoch 171/300
5200/5200 [==============================] - 92s 18ms/sample - loss: 0.0236 - acc: 0.7150 - val_loss: 0.0184 - val_acc: 0.4812
Epoch 172/300
5200/5200 [==============================] - 88s 17ms/sample - loss: 0.0236 - acc: 0.7125 - val_loss: 0.0187 - val_acc: 0.4875
Epoch 173/300
5200/5200 [==============================] - 89s 17ms/sample - loss: 0.0235 - acc: 0.7163 - val_loss: 0.0187 - val_acc: 0.4812
Epoch 174/300
5200/5200 [==============================] - 86s 17ms/sample - loss: 0.0236 - acc: 0.7158 - val_loss: 0.0186 - val_acc: 0.4875
Epoch 175/300
5200/5200 [==============================] - 88s 17ms/sample - loss: 0.0236 - acc: 0.7140 - val_loss: 0.0184 - val_acc: 0.4938
Epoch 176/300
5200/5200 [==============================] - 92s 18ms/sample - loss: 0.0235 - acc: 0.7165 - val_loss: 0.0194 - val_acc: 0.4875
Epoch 177/300
5200/5200 [==============================] - 86s 17ms/sample - loss: 0.0235 - acc: 0.7133 - val_loss: 0.0188 - val_acc: 0.4875
Epoch 178/300
5200/5200 [==============================] - 81s 16ms/sample - loss: 0.0236 - acc: 0.7235 - val_loss: 0.0191 - val_acc: 0.4688
Epoch 179/300
5200/5200 [==============================] - 92s 18ms/sample - loss: 0.0235 - acc: 0.7129 - val_loss: 0.0186 - val_acc: 0.4875
Epoch 180/300
5200/5200 [==============================] - 89s 17ms/sample - loss: 0.0235 - acc: 0.7098 - val_loss: 0.0190 - val_acc: 0.4750
Epoch 181/300
5200/5200 [==============================] - 93s 18ms/sample - loss: 0.0235 - acc: 0.7165 - val_loss: 0.0187 - val_acc: 0.5000
Epoch 182/300
5200/5200 [==============================] - 89s 17ms/sample - loss: 0.0235 - acc: 0.7204 - val_loss: 0.0192 - val_acc: 0.4875
Epoch 183/300
5200/5200 [==============================] - 91s 18ms/sample - loss: 0.0235 - acc: 0.7175 - val_loss: 0.0183 - val_acc: 0.4875
Epoch 184/300
5200/5200 [==============================] - 85s 16ms/sample - loss: 0.0235 - acc: 0.7167 - val_loss: 0.0189 - val_acc: 0.4938
Epoch 185/300
5200/5200 [==============================] - 97s 19ms/sample - loss: 0.0234 - acc: 0.7185 - val_loss: 0.0183 - val_acc: 0.5000
Epoch 186/300
5200/5200 [==============================] - 84s 16ms/sample - loss: 0.0234 - acc: 0.7223 - val_loss: 0.0190 - val_acc: 0.5000
Epoch 187/300
5200/5200 [==============================] - 89s 17ms/sample - loss: 0.0235 - acc: 0.7187 - val_loss: 0.0185 - val_acc: 0.4875
Epoch 188/300
5200/5200 [==============================] - 89s 17ms/sample - loss: 0.0235 - acc: 0.7179 - val_loss: 0.0191 - val_acc: 0.4812
Epoch 189/300
5200/5200 [==============================] - 91s 17ms/sample - loss: 0.0234 - acc: 0.7233 - val_loss: 0.0188 - val_acc: 0.4875
Epoch 190/300
5200/5200 [==============================] - 89s 17ms/sample - loss: 0.0235 - acc: 0.7188 - val_loss: 0.0195 - val_acc: 0.4875
Epoch 191/300
5200/5200 [==============================] - 93s 18ms/sample - loss: 0.0234 - acc: 0.7192 - val_loss: 0.0190 - val_acc: 0.4938
Epoch 192/300
5200/5200 [==============================] - 90s 17ms/sample - loss: 0.0234 - acc: 0.7156 - val_loss: 0.0187 - val_acc: 0.4875
Epoch 193/300
5200/5200 [==============================] - 89s 17ms/sample - loss: 0.0234 - acc: 0.7190 - val_loss: 0.0186 - val_acc: 0.4875
Epoch 194/300
5200/5200 [==============================] - 82s 16ms/sample - loss: 0.0234 - acc: 0.7169 - val_loss: 0.0194 - val_acc: 0.4875
Epoch 195/300
5200/5200 [==============================] - 80s 15ms/sample - loss: 0.0234 - acc: 0.7185 - val_loss: 0.0192 - val_acc: 0.4875
Epoch 196/300
5200/5200 [==============================] - 91s 17ms/sample - loss: 0.0234 - acc: 0.7194 - val_loss: 0.0192 - val_acc: 0.4938
Epoch 197/300
5200/5200 [==============================] - 92s 18ms/sample - loss: 0.0234 - acc: 0.7158 - val_loss: 0.0190 - val_acc: 0.4875
Epoch 198/300
5200/5200 [==============================] - 94s 18ms/sample - loss: 0.0234 - acc: 0.7173 - val_loss: 0.0192 - val_acc: 0.4875
Epoch 199/300
5200/5200 [==============================] - 88s 17ms/sample - loss: 0.0234 - acc: 0.7188 - val_loss: 0.0187 - val_acc: 0.5000
Epoch 200/300
5200/5200 [==============================] - 82s 16ms/sample - loss: 0.0233 - acc: 0.7204 - val_loss: 0.0189 - val_acc: 0.4875
Epoch 201/300
5200/5200 [==============================] - 91s 18ms/sample - loss: 0.0234 - acc: 0.7190 - val_loss: 0.0189 - val_acc: 0.4875
Epoch 202/300
5200/5200 [==============================] - 91s 18ms/sample - loss: 0.0233 - acc: 0.7215 - val_loss: 0.0187 - val_acc: 0.4750
Epoch 203/300
5200/5200 [==============================] - 90s 17ms/sample - loss: 0.0233 - acc: 0.7192 - val_loss: 0.0192 - val_acc: 0.4750
Epoch 204/300
5200/5200 [==============================] - 91s 18ms/sample - loss: 0.0233 - acc: 0.7150 - val_loss: 0.0191 - val_acc: 0.4875
Epoch 205/300
5200/5200 [==============================] - 85s 16ms/sample - loss: 0.0233 - acc: 0.7221 - val_loss: 0.0185 - val_acc: 0.4875
Epoch 206/300
5200/5200 [==============================] - 88s 17ms/sample - loss: 0.0233 - acc: 0.7196 - val_loss: 0.0198 - val_acc: 0.4812
Epoch 207/300
5200/5200 [==============================] - 90s 17ms/sample - loss: 0.0233 - acc: 0.7202 - val_loss: 0.0188 - val_acc: 0.4812
Epoch 208/300
5200/5200 [==============================] - 91s 17ms/sample - loss: 0.0233 - acc: 0.7198 - val_loss: 0.0191 - val_acc: 0.4688
Epoch 209/300
5200/5200 [==============================] - 81s 16ms/sample - loss: 0.0233 - acc: 0.7213 - val_loss: 0.0192 - val_acc: 0.4875
Epoch 210/300
5200/5200 [==============================] - 90s 17ms/sample - loss: 0.0232 - acc: 0.7263 - val_loss: 0.0193 - val_acc: 0.4688
Epoch 211/300
5200/5200 [==============================] - 92s 18ms/sample - loss: 0.0233 - acc: 0.7215 - val_loss: 0.0188 - val_acc: 0.4875
Epoch 212/300
5200/5200 [==============================] - 93s 18ms/sample - loss: 0.0233 - acc: 0.7250 - val_loss: 0.0188 - val_acc: 0.4625
Epoch 213/300
5200/5200 [==============================] - 82s 16ms/sample - loss: 0.0232 - acc: 0.7219 - val_loss: 0.0190 - val_acc: 0.4812
Epoch 214/300
5200/5200 [==============================] - 94s 18ms/sample - loss: 0.0232 - acc: 0.7237 - val_loss: 0.0194 - val_acc: 0.4875
Epoch 215/300
5200/5200 [==============================] - 85s 16ms/sample - loss: 0.0232 - acc: 0.7221 - val_loss: 0.0195 - val_acc: 0.4812
Epoch 216/300
5200/5200 [==============================] - 89s 17ms/sample - loss: 0.0232 - acc: 0.7260 - val_loss: 0.0195 - val_acc: 0.4875
Epoch 217/300
5200/5200 [==============================] - 89s 17ms/sample - loss: 0.0232 - acc: 0.7219 - val_loss: 0.0195 - val_acc: 0.4875
Epoch 218/300
5200/5200 [==============================] - 89s 17ms/sample - loss: 0.0232 - acc: 0.7229 - val_loss: 0.0191 - val_acc: 0.4812
Epoch 219/300
5200/5200 [==============================] - 89s 17ms/sample - loss: 0.0231 - acc: 0.7254 - val_loss: 0.0193 - val_acc: 0.4750
Epoch 220/300
5200/5200 [==============================] - 93s 18ms/sample - loss: 0.0232 - acc: 0.7279 - val_loss: 0.0192 - val_acc: 0.4875
Epoch 221/300
5200/5200 [==============================] - 90s 17ms/sample - loss: 0.0232 - acc: 0.7210 - val_loss: 0.0195 - val_acc: 0.4750
Epoch 222/300
5200/5200 [==============================] - 88s 17ms/sample - loss: 0.0232 - acc: 0.7244 - val_loss: 0.0192 - val_acc: 0.4750
Epoch 223/300
5200/5200 [==============================] - 89s 17ms/sample - loss: 0.0231 - acc: 0.7294 - val_loss: 0.0189 - val_acc: 0.4812
Epoch 224/300
5200/5200 [==============================] - 90s 17ms/sample - loss: 0.0232 - acc: 0.7260 - val_loss: 0.0199 - val_acc: 0.4812
Epoch 225/300
5200/5200 [==============================] - 90s 17ms/sample - loss: 0.0232 - acc: 0.7285 - val_loss: 0.0197 - val_acc: 0.4875
Epoch 226/300
5200/5200 [==============================] - 89s 17ms/sample - loss: 0.0231 - acc: 0.7248 - val_loss: 0.0195 - val_acc: 0.4938
Epoch 227/300
5200/5200 [==============================] - 92s 18ms/sample - loss: 0.0231 - acc: 0.7237 - val_loss: 0.0197 - val_acc: 0.4812
Epoch 228/300
5200/5200 [==============================] - 93s 18ms/sample - loss: 0.0231 - acc: 0.7248 - val_loss: 0.0192 - val_acc: 0.4688
Epoch 229/300
5200/5200 [==============================] - 91s 18ms/sample - loss: 0.0231 - acc: 0.7367 - val_loss: 0.0202 - val_acc: 0.4688
Epoch 230/300
5200/5200 [==============================] - 94s 18ms/sample - loss: 0.0231 - acc: 0.7212 - val_loss: 0.0193 - val_acc: 0.4875
Epoch 231/300
5200/5200 [==============================] - 83s 16ms/sample - loss: 0.0231 - acc: 0.7304 - val_loss: 0.0193 - val_acc: 0.4688
Epoch 232/300
5200/5200 [==============================] - 83s 16ms/sample - loss: 0.0231 - acc: 0.7221 - val_loss: 0.0194 - val_acc: 0.4875
Epoch 233/300
5200/5200 [==============================] - 91s 17ms/sample - loss: 0.0231 - acc: 0.7262 - val_loss: 0.0196 - val_acc: 0.4812
Epoch 234/300
5200/5200 [==============================] - 93s 18ms/sample - loss: 0.0231 - acc: 0.7292 - val_loss: 0.0196 - val_acc: 0.4688
Epoch 235/300
5200/5200 [==============================] - 88s 17ms/sample - loss: 0.0230 - acc: 0.7308 - val_loss: 0.0188 - val_acc: 0.4875
Epoch 236/300
5200/5200 [==============================] - 89s 17ms/sample - loss: 0.0231 - acc: 0.7229 - val_loss: 0.0194 - val_acc: 0.4875
Epoch 237/300
5200/5200 [==============================] - 78s 15ms/sample - loss: 0.0230 - acc: 0.7298 - val_loss: 0.0187 - val_acc: 0.4625
Epoch 238/300
5200/5200 [==============================] - 86s 16ms/sample - loss: 0.0230 - acc: 0.7240 - val_loss: 0.0200 - val_acc: 0.4688
Epoch 239/300
5200/5200 [==============================] - 91s 17ms/sample - loss: 0.0231 - acc: 0.7256 - val_loss: 0.0193 - val_acc: 0.4750
Epoch 240/300
5200/5200 [==============================] - 94s 18ms/sample - loss: 0.0231 - acc: 0.7275 - val_loss: 0.0199 - val_acc: 0.4750
Epoch 241/300
5200/5200 [==============================] - 88s 17ms/sample - loss: 0.0230 - acc: 0.7294 - val_loss: 0.0197 - val_acc: 0.4812
Epoch 242/300
5200/5200 [==============================] - 86s 17ms/sample - loss: 0.0230 - acc: 0.7240 - val_loss: 0.0191 - val_acc: 0.4812
Epoch 243/300
5200/5200 [==============================] - 88s 17ms/sample - loss: 0.0229 - acc: 0.7275 - val_loss: 0.0197 - val_acc: 0.4812
Epoch 244/300
5200/5200 [==============================] - 90s 17ms/sample - loss: 0.0230 - acc: 0.7271 - val_loss: 0.0192 - val_acc: 0.4563
Epoch 245/300
5200/5200 [==============================] - 85s 16ms/sample - loss: 0.0230 - acc: 0.7288 - val_loss: 0.0200 - val_acc: 0.4875
Epoch 246/300
5200/5200 [==============================] - 84s 16ms/sample - loss: 0.0231 - acc: 0.7262 - val_loss: 0.0198 - val_acc: 0.4750
Epoch 247/300
5200/5200 [==============================] - 83s 16ms/sample - loss: 0.0230 - acc: 0.7269 - val_loss: 0.0194 - val_acc: 0.4750
Epoch 248/300
5200/5200 [==============================] - 86s 16ms/sample - loss: 0.0230 - acc: 0.7298 - val_loss: 0.0190 - val_acc: 0.4875
Epoch 249/300
5200/5200 [==============================] - 90s 17ms/sample - loss: 0.0229 - acc: 0.7321 - val_loss: 0.0200 - val_acc: 0.4812
Epoch 250/300
5200/5200 [==============================] - 92s 18ms/sample - loss: 0.0229 - acc: 0.7329 - val_loss: 0.0200 - val_acc: 0.4812
Epoch 251/300
5200/5200 [==============================] - 86s 17ms/sample - loss: 0.0229 - acc: 0.7296 - val_loss: 0.0192 - val_acc: 0.4812
Epoch 252/300
5200/5200 [==============================] - 89s 17ms/sample - loss: 0.0230 - acc: 0.7287 - val_loss: 0.0200 - val_acc: 0.4625
Epoch 253/300
5200/5200 [==============================] - 88s 17ms/sample - loss: 0.0229 - acc: 0.7369 - val_loss: 0.0194 - val_acc: 0.4750
Epoch 254/300
5200/5200 [==============================] - 93s 18ms/sample - loss: 0.0230 - acc: 0.7315 - val_loss: 0.0193 - val_acc: 0.4875
Epoch 255/300
5200/5200 [==============================] - 92s 18ms/sample - loss: 0.0229 - acc: 0.7248 - val_loss: 0.0198 - val_acc: 0.4875
Epoch 256/300
5200/5200 [==============================] - 93s 18ms/sample - loss: 0.0229 - acc: 0.7310 - val_loss: 0.0192 - val_acc: 0.4812
Epoch 257/300
5200/5200 [==============================] - 90s 17ms/sample - loss: 0.0229 - acc: 0.7342 - val_loss: 0.0196 - val_acc: 0.4812
Epoch 258/300
5200/5200 [==============================] - 92s 18ms/sample - loss: 0.0228 - acc: 0.7363 - val_loss: 0.0190 - val_acc: 0.5125
Epoch 259/300
5200/5200 [==============================] - 89s 17ms/sample - loss: 0.0229 - acc: 0.7333 - val_loss: 0.0198 - val_acc: 0.4875
Epoch 260/300
5200/5200 [==============================] - 89s 17ms/sample - loss: 0.0230 - acc: 0.7263 - val_loss: 0.0197 - val_acc: 0.4688
Epoch 261/300
5200/5200 [==============================] - 85s 16ms/sample - loss: 0.0228 - acc: 0.7308 - val_loss: 0.0197 - val_acc: 0.4688
Epoch 262/300
5200/5200 [==============================] - 93s 18ms/sample - loss: 0.0229 - acc: 0.7296 - val_loss: 0.0195 - val_acc: 0.4688
Epoch 263/300
5200/5200 [==============================] - 92s 18ms/sample - loss: 0.0229 - acc: 0.7319 - val_loss: 0.0197 - val_acc: 0.4750
Epoch 264/300
5200/5200 [==============================] - 89s 17ms/sample - loss: 0.0228 - acc: 0.7340 - val_loss: 0.0198 - val_acc: 0.4625
Epoch 265/300
5200/5200 [==============================] - 90s 17ms/sample - loss: 0.0229 - acc: 0.7306 - val_loss: 0.0195 - val_acc: 0.4625
Epoch 266/300
5200/5200 [==============================] - 91s 18ms/sample - loss: 0.0228 - acc: 0.7340 - val_loss: 0.0203 - val_acc: 0.4875
Epoch 267/300
5200/5200 [==============================] - 89s 17ms/sample - loss: 0.0229 - acc: 0.7360 - val_loss: 0.0206 - val_acc: 0.4750
Epoch 268/300
5200/5200 [==============================] - 84s 16ms/sample - loss: 0.0228 - acc: 0.7313 - val_loss: 0.0193 - val_acc: 0.4875
Epoch 269/300
5200/5200 [==============================] - 93s 18ms/sample - loss: 0.0228 - acc: 0.7348 - val_loss: 0.0200 - val_acc: 0.4563
Epoch 270/300
5200/5200 [==============================] - 92s 18ms/sample - loss: 0.0228 - acc: 0.7325 - val_loss: 0.0191 - val_acc: 0.4875
Epoch 271/300
5200/5200 [==============================] - 85s 16ms/sample - loss: 0.0228 - acc: 0.7362 - val_loss: 0.0199 - val_acc: 0.5063
Epoch 272/300
5200/5200 [==============================] - 86s 16ms/sample - loss: 0.0228 - acc: 0.7337 - val_loss: 0.0192 - val_acc: 0.4625
Epoch 273/300
5200/5200 [==============================] - 89s 17ms/sample - loss: 0.0227 - acc: 0.7373 - val_loss: 0.0198 - val_acc: 0.4750
Epoch 274/300
5200/5200 [==============================] - 83s 16ms/sample - loss: 0.0228 - acc: 0.7360 - val_loss: 0.0201 - val_acc: 0.4688
Epoch 275/300
5200/5200 [==============================] - 91s 17ms/sample - loss: 0.0228 - acc: 0.7333 - val_loss: 0.0193 - val_acc: 0.4500
Epoch 276/300
5200/5200 [==============================] - 92s 18ms/sample - loss: 0.0228 - acc: 0.7388 - val_loss: 0.0193 - val_acc: 0.4750
Epoch 277/300
5200/5200 [==============================] - 90s 17ms/sample - loss: 0.0228 - acc: 0.7381 - val_loss: 0.0199 - val_acc: 0.4875
Epoch 278/300
5200/5200 [==============================] - 86s 17ms/sample - loss: 0.0227 - acc: 0.7452 - val_loss: 0.0195 - val_acc: 0.4688
Epoch 279/300
5200/5200 [==============================] - 93s 18ms/sample - loss: 0.0227 - acc: 0.7381 - val_loss: 0.0193 - val_acc: 0.4750
Epoch 280/300
5200/5200 [==============================] - 84s 16ms/sample - loss: 0.0227 - acc: 0.7369 - val_loss: 0.0205 - val_acc: 0.4625
Epoch 281/300
5200/5200 [==============================] - 94s 18ms/sample - loss: 0.0226 - acc: 0.7396 - val_loss: 0.0195 - val_acc: 0.4688
Epoch 282/300
5200/5200 [==============================] - 94s 18ms/sample - loss: 0.0228 - acc: 0.7371 - val_loss: 0.0201 - val_acc: 0.4563
Epoch 283/300
5200/5200 [==============================] - 87s 17ms/sample - loss: 0.0227 - acc: 0.7394 - val_loss: 0.0193 - val_acc: 0.4625
Epoch 284/300
5200/5200 [==============================] - 91s 18ms/sample - loss: 0.0227 - acc: 0.7367 - val_loss: 0.0201 - val_acc: 0.4812
Epoch 285/300
5200/5200 [==============================] - 90s 17ms/sample - loss: 0.0227 - acc: 0.7381 - val_loss: 0.0192 - val_acc: 0.4625
Epoch 286/300
5200/5200 [==============================] - 93s 18ms/sample - loss: 0.0227 - acc: 0.7369 - val_loss: 0.0195 - val_acc: 0.4938
Epoch 287/300
5200/5200 [==============================] - 95s 18ms/sample - loss: 0.0227 - acc: 0.7398 - val_loss: 0.0192 - val_acc: 0.4812
Epoch 288/300
5200/5200 [==============================] - 89s 17ms/sample - loss: 0.0226 - acc: 0.7390 - val_loss: 0.0203 - val_acc: 0.4563
Epoch 289/300
5200/5200 [==============================] - 90s 17ms/sample - loss: 0.0227 - acc: 0.7454 - val_loss: 0.0195 - val_acc: 0.4812
Epoch 290/300
5200/5200 [==============================] - 88s 17ms/sample - loss: 0.0227 - acc: 0.7362 - val_loss: 0.0201 - val_acc: 0.5000
Epoch 291/300
5200/5200 [==============================] - 94s 18ms/sample - loss: 0.0226 - acc: 0.7400 - val_loss: 0.0200 - val_acc: 0.4812
Epoch 292/300
5200/5200 [==============================] - 80s 15ms/sample - loss: 0.0227 - acc: 0.7392 - val_loss: 0.0206 - val_acc: 0.4812
Epoch 293/300
5200/5200 [==============================] - 81s 15ms/sample - loss: 0.0226 - acc: 0.7387 - val_loss: 0.0196 - val_acc: 0.4500
Epoch 294/300
5200/5200 [==============================] - 93s 18ms/sample - loss: 0.0226 - acc: 0.7371 - val_loss: 0.0198 - val_acc: 0.4688
Epoch 295/300
5200/5200 [==============================] - 90s 17ms/sample - loss: 0.0227 - acc: 0.7367 - val_loss: 0.0196 - val_acc: 0.4750
Epoch 296/300
5200/5200 [==============================] - 81s 16ms/sample - loss: 0.0225 - acc: 0.7458 - val_loss: 0.0198 - val_acc: 0.4563
Epoch 297/300
5200/5200 [==============================] - 87s 17ms/sample - loss: 0.0226 - acc: 0.7408 - val_loss: 0.0190 - val_acc: 0.4625
Epoch 298/300
5200/5200 [==============================] - 93s 18ms/sample - loss: 0.0227 - acc: 0.7342 - val_loss: 0.0195 - val_acc: 0.4750
Epoch 299/300
5200/5200 [==============================] - 92s 18ms/sample - loss: 0.0226 - acc: 0.7404 - val_loss: 0.0199 - val_acc: 0.4750
Epoch 300/300
5200/5200 [==============================] - 93s 18ms/sample - loss: 0.0226 - acc: 0.7448 - val_loss: 0.0197 - val_acc: 0.4938
